"","x"
"1","ENSG00000241449"
"2","ENSG00000286134"
"3","ENSG00000249926"
"4","LINC00454"
"5","OVOL1"
"6","BTNL2"
"7","ELFN2"
"8","ENSG00000198022"
"9","CDH16"
"10","FAM47C"
"11","UGT2B17"
"12","ALDH3B2"
"13","TMEM271"
"14","REG3A"
"15","HEPACAM"
"16","TMEM114"
"17","ENSG00000262786"
"18","PLA2G4E"
"19","GAB4"
"20","NXPH1"
"21","IL17C"
"22","ENSG00000224099"
"23","LINC02668"
"24","ENSG00000220666"
"25","CERNA2"
"26","LINC02418"
"27","TUBA3E"
"28","B3GALT1-AS1"
"29","KRT20"
"30","LINC01799"
"31","ENSG00000287723"
"32","RBM46"
"33","GPR12"
"34","ITIH6"
"35","LINC02434"
"36","MTNR1B"
"37","B3GNT6"
"38","LINC00836"
"39","FAR2P3"
"40","LINC01310"
"41","LOC101928748"
"42","LINC02496"
"43","ENSG00000285741"
"44","RBBP8NL"
"45","C1orf105"
"46","SLCO1A2"
"47","LOC124901122"
"48","FABP1"
"49","ENSG00000283286"
"50","ZNF804B"
"51","LINC00567"
"52","PRDM7"
"53","TUBBP9"
"54","MAS1L"
"55","GSC2"
"56","VSIG10L2"
"57","ENSG00000229967"
"58","SFTPC"
"59","LINC01447"
"60","LOC442497"
"61","ARL14"
"62","ATP6V0A4"
"63","SCNN1G"
"64","HAO1"
"65","LHFPL3-AS1"
"66","CT47B1"
"67","ENSG00000287414"
"68","SOX1-OT"
"69","LINC01608"
"70","LINC00939"
"71","TECTB"
"72","ENSG00000229400"
"73","LINC01797"
"74","ENSG00000261080"
"75","ENSG00000230552"
"76","MYL10"
"77","ATP4B"
"78","ENSG00000286523"
"79","SERPINB11"
"80","PCDH20"
"81","MYBPHL"
"82","VSX2"
"83","COL6A5"
"84","OVOL2"
"85","SLC36A2"
"86","PROX1-AS1"
"87","SCEL"
"88","LOC124901604"
"89","C1orf210"
"90","C1QTNF8"
"91","FGF3"
"92","TDRD5"
"93","ACE2"
"94","LINC00687"
"95","CAPN13"
"96","SYNPR"
"97","ENSG00000277987"
"98","ENSG00000267453"
"99","ENSG00000272180"
"100","ENSG00000253377"
"101","SSTR5"
"102","KLHL32"
"103","LOC105375826"
"104","FGF4"
"105","ENSG00000215559"
"106","ELF5"
"107","KDF1"
"108","CRB3"
"109","ENSG00000275830"
"110","GJB1"
"111","ENSG00000287666"
"112","ENSG00000241168"
"113","CCDC187"
"114","OLIG2"
"115","LINC01736"
"116","HNF4A"
"117","LINC03053"
"118","RNF223"
"119","SLC5A1"
"120","PHOX2B"
"121","CBLC"
"122","ASB15"
"123","STMN4"
"124","ENSG00000279616"
"125","TUBB8P4"
"126","HCRTR1"
"127","CAPN9"
"128","PSAPL1"
"129","ENSG00000285769"
"130","LOC105375754"
"131","ENSG00000232111"
"132","SLC6A14"
"133","EPS8L3"
"134","ENSG00000279965"
"135","OR52K1"
"136","CPLX2"
"137","UMOD"
"138","CLDN6"
"139","A4GNT"
"140","RLBP1"
"141","ENSG00000253706"
"142","BICDL2"
"143","ENSG00000260848"
"144","MYADML2"
"145","ENSG00000251635"
"146","LINC03050"
"147","SERPINA4"
"148","ENSG00000288107"
"149","CYP2C9"
"150","FAM83E"
"151","HPN-AS1"
"152","CCDC140"
"153","LOC105374338"
"154","SLC5A7"
"155","ENSG00000205044"
"156","ST8SIA6-AS1"
"157","ENSG00000203395"
"158","SOX21-AS1"
"159","FAM9A"
"160","LINC02424"
"161","PROKR1"
"162","BRS3"
"163","LINC01393"
"164","FBP2"
"165","OTP"
"166","ADAMTS19-AS1"
"167","LINC01108"
"168","CAPN8"
"169","SPATA3-AS1"
"170","ZNF750"
"171","GRHL2"
"172","SLC6A19"
"173","IVL"
"174","PRSS22"
"175","FXYD3"
"176","OTOR"
"177","FMR1NB"
"178","SLC15A1"
"179","ENSG00000254293"
"180","ENSG00000258952"
"181","LINC02594"
"182","CDX2"
"183","LHX3"
"184","C6orf15"
"185","STON1-GTF2A1L"
"186","LINC02810"
"187","ENSG00000250501"
"188","EVX1"
"189","ENSG00000283422"
"190","TNNT2"
"191","ELAVL4"
"192","DRD5"
"193","SCGB2A2"
"194","SPDEF"
"195","LOC728307"
"196","TMC5"
"197","CLDN2"
"198","GPR22"
"199","EDN2"
"200","SLC26A3"
"201","RAX"
"202","MS4A15"
"203","STOML3"
"204","DMRT1"
"205","NRG3"
"206","CWH43"
"207","LOC100130268"
"208","PROSER2-AS1"
"209","MIR2052HG"
"210","PNMA5"
"211","ENSG00000286616"
"212","ENSG00000164393"
"213","ST6GALNAC1"
"214","SMIM5"
"215","TPH2"
"216","UPK3B"
"217","PIWIL3"
"218","LOC339166"
"219","KCNMA1-AS1"
"220","TMPRSS4"
"221","ENSG00000254416"
"222","UGT2B15"
"223","FA2H"
"224","LINC01798"
"225","BTNL8"
"226","PAH"
"227","TBR1"
"228","UGT2B7"
"229","TMEM125"
"230","TAFA1"
"231","CBLIF"
"232","TDRD1"
"233","B3GNT3"
"234","IL12A-AS1"
"235","PLEKHS1"
"236","NAPSA"
"237","FAM3D"
"238","KLK5"
"239","ENSG00000254366"
"240","APOA4"
"241","ENSG00000256673"
"242","ENSG00000159247"
"243","FREM3"
"244","CCN6"
"245","KLK10"
"246","NKX2-3"
"247","SCTR"
"248","ASB10"
"249","C1orf116"
