"","x"
"1","ENSG00000241449"
"2","ENSG00000286134"
"3","ENSG00000249926"
"4","ENSG00000226921"
"5","ENSG00000172818"
"6","ENSG00000204290"
"7","ENSG00000243902"
"8","ENSG00000198022"
"9","ENSG00000166589"
"10","ENSG00000198173"
"11","ENSG00000197888"
"12","ENSG00000132746"
"13","ENSG00000273238"
"14","ENSG00000172016"
"15","ENSG00000165478"
"16","ENSG00000232258"
"17","ENSG00000262786"
"18","ENSG00000188089"
"19","ENSG00000215568"
"20","ENSG00000122584"
"21","ENSG00000124391"
"22","ENSG00000224099"
"23","ENSG00000226762"
"24","ENSG00000220666"
"25","ENSG00000285972"
"26","ENSG00000214039"
"27","ENSG00000152086"
"28","ENSG00000235335"
"29","ENSG00000171431"
"30","ENSG00000230525"
"31","ENSG00000287723"
"32","ENSG00000151962"
"33","ENSG00000132975"
"34","ENSG00000102313"
"35","ENSG00000248370"
"36","ENSG00000134640"
"37","ENSG00000198488"
"38","ENSG00000280809"
"39","ENSG00000240253"
"40","ENSG00000205632"
"41","ENSG00000236461"
"42","ENSG00000249066"
"43","ENSG00000285741"
"44","ENSG00000130701"
"45","ENSG00000180999"
"46","ENSG00000084453"
"47","ENSG00000254135"
"48","ENSG00000163586"
"49","ENSG00000283286"
"50","ENSG00000182348"
"51","ENSG00000259831"
"52","ENSG00000126856"
"53","ENSG00000220586"
"54","ENSG00000204687"
"55","ENSG00000063515"
"56","ENSG00000283703"
"57","ENSG00000229967"
"58","ENSG00000168484"
"59","ENSG00000236078"
"60","ENSG00000249574"
"61","ENSG00000179674"
"62","ENSG00000105929"
"63","ENSG00000166828"
"64","ENSG00000101323"
"65","ENSG00000226869"
"66","ENSG00000236446"
"67","ENSG00000287414"
"68","ENSG00000224243"
"69","ENSG00000253877"
"70","ENSG00000249267"
"71","ENSG00000119913"
"72","ENSG00000229400"
"73","ENSG00000237179"
"74","ENSG00000261080"
"75","ENSG00000230552"
"76","ENSG00000106436"
"77","ENSG00000186009"
"78","ENSG00000286523"
"79","ENSG00000206072"
"80","ENSG00000280165"
"81","ENSG00000221986"
"82","ENSG00000119614"
"83","ENSG00000172752"
"84","ENSG00000125850"
"85","ENSG00000186335"
"86","ENSG00000230461"
"87","ENSG00000136155"
"88","ENSG00000260951"
"89","ENSG00000253313"
"90","ENSG00000184471"
"91","ENSG00000186895"
"92","ENSG00000162782"
"93","ENSG00000130234"
"94","ENSG00000228422"
"95","ENSG00000162949"
"96","ENSG00000163630"
"97","ENSG00000277987"
"98","ENSG00000267453"
"99","ENSG00000272180"
"100","ENSG00000253377"
"101","ENSG00000162009"
"102","ENSG00000186231"
"103","ENSG00000253474"
"104","ENSG00000075388"
"105","ENSG00000215559"
"106","ENSG00000135374"
"107","ENSG00000175707"
"108","ENSG00000130545"
"109","ENSG00000275830"
"110","ENSG00000169562"
"111","ENSG00000287666"
"112","ENSG00000241168"
"113","ENSG00000260220"
"114","ENSG00000205927"
"115","ENSG00000228058"
"116","ENSG00000101076"
"117","ENSG00000223486"
"118","ENSG00000237330"
"119","ENSG00000100170"
"120","ENSG00000109132"
"121","ENSG00000142273"
"122","ENSG00000146809"
"123","ENSG00000015592"
"124","ENSG00000279616"
"125","ENSG00000250788"
"126","ENSG00000121764"
"127","ENSG00000135773"
"128","ENSG00000178597"
"129","ENSG00000285769"
"130","ENSG00000286010"
"131","ENSG00000232111"
"132","ENSG00000268104"
"133","ENSG00000198758"
"134","ENSG00000279965"
"135","ENSG00000196778"
"136","ENSG00000145920"
"137","ENSG00000169344"
"138","ENSG00000184697"
"139","ENSG00000118017"
"140","ENSG00000140522"
"141","ENSG00000253706"
"142","ENSG00000162069"
"143","ENSG00000260848"
"144","ENSG00000185105"
"145","ENSG00000251635"
"146","ENSG00000235725"
"147","ENSG00000100665"
"148","ENSG00000288107"
"149","ENSG00000138109"
"150","ENSG00000105523"
"151","ENSG00000227392"
"152","ENSG00000163081"
"153","ENSG00000283183"
"154","ENSG00000115665"
"155","ENSG00000205044"
"156","ENSG00000204832"
"157","ENSG00000203395"
"158","ENSG00000227640"
"159","ENSG00000183304"
"160","ENSG00000258220"
"161","ENSG00000169618"
"162","ENSG00000102239"
"163","ENSG00000225535"
"164","ENSG00000130957"
"165","ENSG00000171540"
"166","ENSG00000249421"
"167","ENSG00000226673"
"168","ENSG00000203697"
"169","ENSG00000238062"
"170","ENSG00000141579"
"171","ENSG00000083307"
"172","ENSG00000174358"
"173","ENSG00000163207"
"174","ENSG00000005001"
"175","ENSG00000089356"
"176","ENSG00000125879"
"177","ENSG00000176988"
"178","ENSG00000088386"
"179","ENSG00000254293"
"180","ENSG00000258952"
"181","ENSG00000267440"
"182","ENSG00000165556"
"183","ENSG00000107187"
"184","ENSG00000204542"
"185","ENSG00000068781"
"186","ENSG00000236648"
"187","ENSG00000250501"
"188","ENSG00000106038"
"189","ENSG00000283422"
"190","ENSG00000118194"
"191","ENSG00000162374"
"192","ENSG00000169676"
"193","ENSG00000110484"
"194","ENSG00000124664"
"195","ENSG00000224931"
"196","ENSG00000103534"
"197","ENSG00000165376"
"198","ENSG00000172209"
"199","ENSG00000127129"
"200","ENSG00000091138"
"201","ENSG00000134438"
"202","ENSG00000166961"
"203","ENSG00000133115"
"204","ENSG00000137090"
"205","ENSG00000185737"
"206","ENSG00000109182"
