"","x"
"1","C7"
"2","MMP13"
"3","CCL18"
"4","TYRP1"
"5","MMP3"
"6","NPR3"
"7","CXCL8"
"8","ADPRHL1"
"9","PTGDS"
"10","PTGS2"
"11","SBSN"
"12","MMP12"
"13","LY6H"
"14","VGLL2"
"15","ARFGEF3"
"16","SHISA6"
"17","PLCH2"
"18","SLC1A7"
"19","PTPRQ"
"20","MTCO3P12"
"21","LOC107986951"
"22","IL1RL1"
"23","MYF5"
"24","SUCNR1"
"25","CXCL5"
"26","DUOXA2"
"27","LY6K"
"28","KRT34"
"29","DBH-AS1"
"30","CR2"
"31","SERPINB7"
"32","DPEP1"
"33","SERPINB2"
"34","FGFBP2"
"35","CALB1"
"36","LINC00968"
"37","PSG4"
"38","ITLN1"
"39","PVALB"
"40","PSG5"
"41","PSG1"
"42","LINC02458"
"43","KLK14"
"44","CLDN14"
"45","ENSG00000225106"
"46","SP7"
"47","CDHR1"
"48","MC4R"
"49","NETO1"
"50","SNCB"
"51","CCDC68"
"52","LIX1"
"53","TNNI3"
"54","NR5A1"
"55","SLITRK1"
"56","ENSG00000250420"
"57","C2CD4A"
"58","INHA"
"59","ATP1A3"
"60","KLF17P2"
"61","IL36B"
"62","SLC28A3"
"63","LINC00261"
"64","KRT77"
"65","GABRA5"
"66","AMHR2"
"67","IL36RN"
"68","ENSG00000234810"
"69","SNTG2"
"70","LOC105369187"
"71","MYT1"
"72","TRPM1"
"73","HCN1"
"74","SULT1E1"
"75","SLC45A2"
"76","PSG9"
"77","TMEM229A"
"78","LEFTY1"
"79","LINC02957"
"80","PSG11"
"81","LINC00906"
"82","IGFL2-AS1"
"83","NLRP11"
"84","PPBP"
"85","LNCDAT"
"86","FAM83B"
"87","LOC124903236"
"88","MYO1H"
"89","LEP"
"90","LY6D"
"91","ENSG00000226571"
"92","SLC4A1"
"93","PPY"
"94","MUC19"
"95","TYR"
"96","SLC7A14-AS1"
"97","RHBG"
"98","ENSG00000286056"
"99","LINC02582"
"100","PCARE"
"101","ENSG00000225156"
"102","KRT24"
"103","LOC105370993"
"104","FCAMR"
"105","OCSTAMP"
"106","SLC5A8"
"107","FAM83A"
"108","LINC00486"
"109","NLRP10"
"110","PROZ"
"111","ADGRG7"
"112","SSX5"
"113","HTN3"
"114","CCDC63"
"115","LRRC10"
"116","KRT25"
"117","ENSG00000282933"
"118","ENSG00000244675"
"119","LINC01446"
"120","POU3F4"
"121","LOC124907763"
"122","ENSG00000249797"
"123","MIR202HG"
"124","KRTAP1-5"
"125","LINC02815"
"126","CCDC38"
"127","KRT78"
"128","DLGAP1-AS5"
"129","TGM4"
"130","KRT33B"
"131","BMP10"
"132","ENSG00000258140"
"133","C1QL2"
"134","ARL14EPL"
"135","PLA2G1B"
"136","TMEM132D-AS1"
"137","SPATA8"
"138","UTF1"
"139","LOC102724434"
"140","LOC105378644"
"141","KRT27"
"142","ENSG00000226954"
"143","MIR124-1HG"
"144","PRB2"
"145","LOC124900945"
"146","ENSG00000248371"
"147","GABRG3-AS1"
"148","LOC105375148"
"149","RFX6"
"150","AWAT2"
"151","C12orf50"
"152","KCNC2"
"153","ZSCAN10"
"154","SERPINB10"
"155","ENSG00000255583"
"156","FOXI1"
"157","LINC02747"
"158","TUFMP1"
"159","LINC01166"
"160","ENSG00000231976"
"161","LOC102724908"
"162","REG4"
"163","RGR"
"164","REG3G"
"165","DCAF4L2"
"166","ENSG00000215478"
"167","PCDH11X"
"168","ENSG00000256915"
"169","ENSG00000262732"
"170","LINC01838"
"171","ENSG00000226695"
"172","AMBN"
"173","STATH"
"174","LINC01687"
"175","ENSG00000286284"
"176","LINC01755"
"177","FFAR1"
"178","DDX53"
"179","GPR101"
"180","ENSG00000286976"
"181","SLC17A6"
"182","LINC01830"
"183","ENSG00000231754"
"184","ENSG00000249945"
"185","PNMA6F"
"186","LINC03031"
"187","ENSG00000184303"
"188","LINC00904"
"189","FAM197Y7"
"190","ENSG00000285636"
"191","OR7D4"
"192","ENSG00000225560"
"193","ENSG00000286941"
"194","LINC02070"
"195","LOC105372937"
"196","ENSG00000234803"
"197","OR4D10"
