"","x"
"1","ENSG00000112936"
"2","ENSG00000137745"
"3","ENSG00000275385"
"4","ENSG00000107165"
"5","ENSG00000149968"
"6","ENSG00000113389"
"7","ENSG00000169429"
"8","ENSG00000153531"
"9","ENSG00000107317"
"10","ENSG00000073756"
"11","ENSG00000189001"
"12","ENSG00000262406"
"13","ENSG00000176956"
"14","ENSG00000170162"
"15","ENSG00000112379"
"16","ENSG00000188803"
"17","ENSG00000149527"
"18","ENSG00000162383"
"19","ENSG00000139304"
"20","ENSG00000198744"
"21","ENSG00000254337"
"22","ENSG00000115602"
"23","ENSG00000111049"
"24","ENSG00000198829"
"25","ENSG00000163735"
"26","ENSG00000140274"
"27","ENSG00000160886"
"28","ENSG00000131737"
"29","ENSG00000225756"
"30","ENSG00000117322"
"31","ENSG00000166396"
"32","ENSG00000015413"
"33","ENSG00000197632"
"34","ENSG00000137441"
"35","ENSG00000104327"
"36","ENSG00000246430"
"37","ENSG00000243137"
"38","ENSG00000179914"
"39","ENSG00000100362"
"40","ENSG00000204941"
"41","ENSG00000231924"
"42","ENSG00000246363"
"43","ENSG00000129437"
"44","ENSG00000159261"
"45","ENSG00000225106"
"46","ENSG00000170374"
"47","ENSG00000148600"
"48","ENSG00000166603"
"49","ENSG00000166342"
"50","ENSG00000074317"
"51","ENSG00000166510"
"52","ENSG00000145721"
"53","ENSG00000129991"
"54","ENSG00000136931"
"55","ENSG00000178235"
"56","ENSG00000250420"
"57","ENSG00000198535"
"58","ENSG00000123999"
"59","ENSG00000105409"
"60","ENSG00000248698"
"61","ENSG00000136696"
"62","ENSG00000197506"
"63","ENSG00000259974"
"64","ENSG00000189182"
"65","ENSG00000186297"
"66","ENSG00000135409"
"67","ENSG00000136695"
"68","ENSG00000234810"
"69","ENSG00000172554"
"70","ENSG00000250748"
"71","ENSG00000196132"
"72","ENSG00000134160"
"73","ENSG00000164588"
"74","ENSG00000109193"
"75","ENSG00000164175"
"76","ENSG00000183668"
"77","ENSG00000234224"
"78","ENSG00000243709"
"79","ENSG00000260454"
"80","ENSG00000243130"
"81","ENSG00000267339"
"82","ENSG00000268621"
"83","ENSG00000179873"
"84","ENSG00000163736"
"85","ENSG00000288638"
"86","ENSG00000168143"
"87","ENSG00000287996"
"88","ENSG00000174527"
"89","ENSG00000174697"
"90","ENSG00000167656"
"91","ENSG00000226571"
"92","ENSG00000004939"
"93","ENSG00000108849"
"94","ENSG00000205592"
"95","ENSG00000077498"
"96","ENSG00000285051"
"97","ENSG00000132677"
"98","ENSG00000286056"
"99","ENSG00000261780"
"100","ENSG00000179270"
"101","ENSG00000225156"
"102","ENSG00000167916"
"103","ENSG00000258489"
"104","ENSG00000162897"
"105","ENSG00000149635"
"106","ENSG00000256870"
"107","ENSG00000147689"
"108","ENSG00000230876"
"109","ENSG00000182261"
"110","ENSG00000126231"
"111","ENSG00000144820"
"112","ENSG00000165583"
"113","ENSG00000205649"
"114","ENSG00000173093"
"115","ENSG00000198812"
"116","ENSG00000204897"
"117","ENSG00000282933"
"118","ENSG00000244675"
"119","ENSG00000205628"
"120","ENSG00000196767"
"121","ENSG00000226087"
"122","ENSG00000249797"
"123","ENSG00000166917"
"124","ENSG00000221852"
"125","ENSG00000236975"
"126","ENSG00000165972"
"127","ENSG00000170423"
"128","ENSG00000261520"
"129","ENSG00000163810"
"130","ENSG00000131738"
"131","ENSG00000163217"
"132","ENSG00000258140"
"133","ENSG00000144119"
"134","ENSG00000268223"
"135","ENSG00000170890"
"136","ENSG00000249196"
"137","ENSG00000185594"
"138","ENSG00000171794"
"139","ENSG00000237870"
"140","ENSG00000284640"
"141","ENSG00000171446"
"142","ENSG00000226954"
"143","ENSG00000253230"
"144","ENSG00000121335"
"145","ENSG00000286377"
"146","ENSG00000248371"
"147","ENSG00000228740"
"148","ENSG00000234710"
"149","ENSG00000185002"
"150","ENSG00000147160"
"151","ENSG00000165805"
"152","ENSG00000166006"
"153","ENSG00000130182"
"154","ENSG00000242550"
"155","ENSG00000255583"
"156","ENSG00000168269"
"157","ENSG00000255774"
"158","ENSG00000265646"
"159","ENSG00000232903"
"160","ENSG00000231976"
"161","ENSG00000266976"
"162","ENSG00000134193"
"163","ENSG00000148604"
"164","ENSG00000143954"
"165","ENSG00000176566"
"166","ENSG00000215478"
"167","ENSG00000099715"
"168","ENSG00000256915"
"169","ENSG00000262732"
"170","ENSG00000269037"
"171","ENSG00000226695"
"172","ENSG00000178522"
"173","ENSG00000126549"
"174","ENSG00000233215"
"175","ENSG00000286284"
"176","ENSG00000233079"
"177","ENSG00000126266"
"178","ENSG00000184735"
"179","ENSG00000165370"
"180","ENSG00000286976"
"181","ENSG00000091664"
"182","ENSG00000228999"
"183","ENSG00000231754"
"184","ENSG00000249945"
"185","ENSG00000225110"
"186","ENSG00000254584"
"187","ENSG00000184303"
"188","ENSG00000271171"
"189","ENSG00000228383"
"190","ENSG00000285636"
"191","ENSG00000174667"
"192","ENSG00000225560"
"193","ENSG00000286941"
"194","ENSG00000241328"
"195","ENSG00000286421"
"196","ENSG00000234803"
"197","ENSG00000254466"
